n_views,count,single_cosine,multi_cosine,weighted_cosine,random_cosine,single_l2,multi_l2,weighted_l2,random_l2
8,8,0.55634555965662,0.7231702655553818,0.7070138454437256,0.5530240535736084,0.9266868606209755,0.6910732090473175,0.7124117538332939,0.8604154288768768
10,40,0.6318784132599831,0.7645656630396843,0.737076435983181,0.5861609958112239,0.8392058975994587,0.6386609442532063,0.6708719566464424,0.8283945530653
11,55,0.5809883995489641,0.7285379312255166,0.6916435046629472,0.5992313108660958,0.9022221933711659,0.6831356124444441,0.727373212034052,0.8149125976995988
12,96,0.5673768681784471,0.7368216967831055,0.7010022861262163,0.6139884339645505,0.9173421074325839,0.6713415024181207,0.7145155534769098,0.7996706378956636
13,130,0.5769012430539497,0.7279370220807883,0.6974224122670981,0.5899593144655227,0.898999389891441,0.6798945399431082,0.7150233610318257,0.8236939040514138
14,266,0.5762207337788173,0.7389791389381078,0.7116625808683553,0.6033354660398081,0.9085010729337993,0.669298087855927,0.7009299226049194,0.8111459807793897
15,330,0.5875397831201553,0.7460121536796743,0.7199081215894584,0.6077424847718441,0.8935550369999625,0.6612864833889586,0.6927402061946464,0.8065506405902632
16,688,0.5932914953852115,0.7539667324704487,0.7261772964496253,0.6057903343421775,0.8847754468145066,0.6497463158570057,0.6827016270524541,0.8088630185744097
17,1003,0.5921973158212626,0.7537659501744173,0.7281109415224993,0.6145689019474646,0.8878315177152782,0.6510323819111019,0.6816843413819345,0.8002175443906965
18,1152,0.5917562392488536,0.753087061146895,0.727433674554858,0.6156176517251879,0.8894636117491044,0.6525965868754106,0.6821169989287026,0.7994025839596159
19,1406,0.5882225655559795,0.7510139006130386,0.7248980396163582,0.6046567932089226,0.8929511837735454,0.6543162246347322,0.6843100450032127,0.8097814308376096
20,1640,0.586171384119406,0.7517757138464509,0.7295444788729272,0.6161324879563437,0.8956804877646812,0.6542386502390954,0.6798115554197532,0.7988718508038579
21,2268,0.5843697124188749,0.7502559953791335,0.7280424485735372,0.6052809640423541,0.8970544392233173,0.6557319748890463,0.6803483326099747,0.8093196477287661
22,2376,0.5727705581220313,0.745177028719524,0.7208597970756416,0.6062871730362727,0.9111521408237793,0.6622544334894077,0.6893728430498931,0.8084857686350643
23,2599,0.5867422221600436,0.7547175398052725,0.7320637935145445,0.6135119308343802,0.8961156743416285,0.6510933839894112,0.6773052830657578,0.8012317735307627
24,3072,0.585288777622433,0.7511849309084937,0.7266494627013648,0.6098880054293355,0.8961958492630705,0.655523133619378,0.6832802534239212,0.8050780001600893
25,3600,0.5729520544658104,0.7448530128267077,0.7226657168898317,0.6047324743204646,0.9094361555369364,0.6624296017653413,0.6868411217381557,0.8102658916513125
26,3146,0.5719244639517695,0.7436267971916708,0.7198968661471832,0.6062073347887565,0.9116859924277908,0.6644482488607193,0.6902533154425466,0.8088143433989496
27,3537,0.5673770904709533,0.7420465480667877,0.7195402604140971,0.6007444320137567,0.9155022388027656,0.6659703693013761,0.6901097542271629,0.8141860022765955
28,3248,0.5605690691234737,0.7397289694988816,0.7152072180411205,0.5979419537897914,0.9237451340700386,0.6686549288188589,0.6951348848751026,0.8168652792062078
29,2871,0.5684252498416442,0.7446653021831041,0.719432302517411,0.6010576552711103,0.9156739658042555,0.6629366331692566,0.6909153786157325,0.813893844040376
30,2820,0.5744987939583495,0.7469676962346895,0.7204731606316904,0.5990056363720421,0.9080416703160773,0.6598794749653931,0.6891962914390767,0.8156760335179931
31,2790,0.5756459385156631,0.7474578763635356,0.7234090165211736,0.6001858285998786,0.9068437968424145,0.6596179078556731,0.6861624768771578,0.81461086765626
32,2336,0.5840893846311389,0.7552607092393996,0.7369049328876889,0.607160318783191,0.898115932596975,0.6504260451622206,0.6714663703300773,0.8076501388536537
33,1584,0.5958575765705771,0.7638325753311316,0.7470122472467747,0.6018309447011261,0.8843346661088443,0.6396812565737602,0.6594394287188546,0.8127435639575876
34,612,0.582207993695549,0.7561256652271825,0.7418745810202524,0.6020707464198661,0.9001745148227106,0.6500407838159137,0.6669971359029315,0.8130613042443406
35,595,0.5814012007052157,0.754271460180523,0.7368432889465525,0.5985690590213327,0.8998886405920782,0.6531151014716685,0.6737994321755001,0.8166228197201961
36,36,0.5844114960895644,0.7570631487501992,0.7395724753538767,0.6018049112624593,0.9015881750318739,0.6515517267915938,0.6713468515210681,0.8149640957514445
