method,count,mean_cosine,std_cosine,mean_l2,std_l2
single,44304,0.5777993217788693,0.13315324401207848,0.90465286614709,0.1612594227437369
multi_mean,44304,0.7481930158250694,0.07187632795284213,0.6585993815500003,0.08221800506580146
weighted_multi,44304,0.724858495082912,0.09626282417662378,0.6847357792028422,0.1119562005104761
random_corr,44304,0.604917885936089,0.08394552669764403,0.8099139033961045,0.08257864329455454
