illuminant,light_folder,view_count,gt_ab,gt_ab_std,r3dg_ab,gsir_ab,r3dg_ab_status,gsir_ab_status,gt_ab_center,r3dg_ab_center,gsir_ab_center,r3dg_pred_to_gt_a,r3dg_pred_to_gt_b,r3dg_pred_to_midpoint,gsir_pred_to_gt_a,gsir_pred_to_gt_b,gsir_pred_to_midpoint
D65,d65,8,0.019484176910851442,0.00022041815270694507,,,not_available_common_prediction,not_available_common_prediction,,,,0.42382876202033837,0.42363185284883004,0.42357842403781987,0.47070599541214364,0.47072947128137976,0.4706631846966724
D50,d50,8,0.047750809393247454,0.0003921907943825799,,,not_available_common_prediction,not_available_common_prediction,,,,0.4532541800013906,0.429038904804413,0.44063479177035875,0.4468931379936937,0.4594109082911517,0.4527944286411081
D75,d75,8,0.02703753858168491,0.0002962897120059272,,,not_available_common_prediction,not_available_common_prediction,,,,0.41205572779731836,0.4223112041286121,0.4169557491879023,0.4828162624411264,0.4747836532133449,0.47870319813790063
Illuminant A,illuminant_a,8,0.15420013871909724,0.0005415421534024107,,,not_available_common_prediction,not_available_common_prediction,,,,0.5735684880280928,0.4920804565301436,0.5282839638059964,0.3928797683424565,0.36741789788508,0.37513864857667034
LED-B5,led_b5,8,0.11862528739551123,0.0003118682804582202,,,not_available_common_prediction,not_available_common_prediction,,,,0.3901374642168448,0.456231012588004,0.4214979510489962,0.5028715120670124,0.4432823008154248,0.47077441092656
LED-RGB1,led_rgb1,8,0.5303539735322715,0.0010147787535284458,,,not_available_common_prediction,not_available_common_prediction,,,,0.7149933313498171,0.2922701220207401,0.533499997855735,0.33462429040477926,0.5480809644962534,0.3705942253454565
